               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038367,            0.013042,           0.0019856,             0.87792,             0.93311,             0.95153,             0.59084,            0.026396,           0.0048161,           0.0010968,            0.006535,            0.006535,            0.006535
                  37,            0.039125,            0.012675,           0.0024145,             0.77988,              0.9533,             0.93349,             0.57082,            0.031446,           0.0045515,           0.0010182,            0.006436,            0.006436,            0.006436
                  38,            0.043054,            0.011704,           0.0015339,             0.78936,             0.95864,             0.88356,             0.46929,             0.03087,           0.0045576,          0.00086732,            0.006337,            0.006337,            0.006337
                  39,            0.044445,            0.012682,           0.0023971,             0.75375,             0.94127,             0.86555,               0.482,            0.030916,            0.004546,          0.00087955,            0.006238,            0.006238,            0.006238
                  40,            0.040521,            0.010733,            0.001864,             0.96454,             0.93788,             0.98526,             0.62138,            0.027402,           0.0044795,          0.00083874,            0.006139,            0.006139,            0.006139
                  41,            0.036878,             0.01075,           0.0016521,             0.96362,             0.93194,             0.97967,             0.69078,            0.024548,             0.00451,          0.00079788,             0.00604,             0.00604,             0.00604
                  42,             0.03642,             0.01142,            0.003439,             0.81314,             0.94622,             0.93735,              0.5745,            0.027806,           0.0045527,          0.00073642,            0.005941,            0.005941,            0.005941
                  43,            0.035154,            0.013187,           0.0019701,             0.92454,             0.94604,             0.97556,             0.67687,            0.024988,           0.0045465,           0.0006148,            0.005842,            0.005842,            0.005842
                  44,            0.036289,            0.012148,           0.0017518,             0.92019,             0.95831,             0.98161,             0.64877,            0.022871,           0.0044989,           0.0005829,            0.005743,            0.005743,            0.005743
                  45,            0.035452,            0.012978,           0.0022886,             0.94741,             0.93454,             0.98388,             0.62941,            0.026301,           0.0044839,          0.00054559,            0.005644,            0.005644,            0.005644
                  46,            0.034611,            0.010367,           0.0023897,             0.83205,             0.94737,             0.95239,             0.49997,            0.029393,           0.0043655,          0.00056379,            0.005545,            0.005545,            0.005545
                  47,            0.037532,            0.012749,           0.0016346,             0.89077,             0.93703,             0.97107,             0.68016,            0.025832,           0.0044884,          0.00059439,            0.005446,            0.005446,            0.005446
                  48,            0.039396,            0.011409,           0.0016215,             0.95629,             0.92421,             0.97253,              0.5756,             0.02842,           0.0044428,          0.00067278,            0.005347,            0.005347,            0.005347
                  49,            0.037139,            0.010873,           0.0019119,             0.96349,             0.91577,             0.97268,             0.64566,            0.026751,           0.0043469,          0.00068855,            0.005248,            0.005248,            0.005248
                  50,            0.039559,            0.011705,           0.0013286,             0.91936,             0.92982,             0.95911,             0.59446,            0.028528,           0.0042705,          0.00063402,            0.005149,            0.005149,            0.005149
                  51,            0.037703,            0.011955,           0.0022461,             0.97061,             0.95614,             0.98998,             0.65629,            0.023918,           0.0041732,           0.0007028,             0.00505,             0.00505,             0.00505
                  52,            0.033644,            0.010277,           0.0016807,             0.94335,             0.96825,             0.99111,               0.727,            0.022367,           0.0041179,          0.00067427,            0.004951,            0.004951,            0.004951
                  53,            0.031625,            0.011126,           0.0013225,             0.95417,             0.95783,             0.98884,             0.69114,             0.02562,            0.004054,          0.00059903,            0.004852,            0.004852,            0.004852
                  54,            0.035989,            0.011516,           0.0014911,             0.94931,              0.9752,              0.9923,             0.71704,            0.022319,           0.0040794,          0.00059925,            0.004753,            0.004753,            0.004753
                  55,            0.029536,            0.012667,           0.0011538,             0.96183,             0.99123,             0.99345,             0.74458,              0.0229,           0.0040293,          0.00057635,            0.004654,            0.004654,            0.004654
                  56,            0.030925,            0.011444,           0.0010423,             0.97342,             0.99111,             0.99371,             0.71568,            0.022467,           0.0039383,           0.0005108,            0.004555,            0.004555,            0.004555
                  57,            0.031276,            0.010756,           0.0013828,             0.97725,             0.97368,              0.9938,             0.75344,            0.020818,           0.0037462,          0.00047559,            0.004456,            0.004456,            0.004456
                  58,            0.032076,            0.010823,           0.0010481,             0.95223,             0.96491,             0.98683,             0.73046,            0.021965,           0.0036973,          0.00047865,            0.004357,            0.004357,            0.004357
                  59,            0.032252,            0.011026,          0.00094801,             0.92375,             0.94515,             0.98015,             0.72549,            0.023962,           0.0036182,          0.00046185,            0.004258,            0.004258,            0.004258
                  60,            0.034794,            0.011558,           0.0010674,             0.97424,             0.98932,             0.99466,             0.74873,              0.0209,           0.0036203,          0.00046674,            0.004159,            0.004159,            0.004159
                  61,            0.030693,            0.011243,           0.0014004,             0.95242,             0.97161,             0.99337,             0.71981,            0.022742,           0.0036986,          0.00046433,             0.00406,             0.00406,             0.00406
                  62,            0.029789,           0.0097824,           0.0013986,             0.97479,             0.94839,             0.99406,             0.69743,            0.023035,           0.0037687,          0.00049525,            0.003961,            0.003961,            0.003961
                  63,            0.030172,            0.011908,           0.0011201,             0.96097,             0.98279,             0.99432,             0.74722,            0.018438,           0.0037156,          0.00053206,            0.003862,            0.003862,            0.003862
                  64,            0.025493,            0.009986,          0.00092367,             0.98277,             0.95628,             0.99398,             0.73057,            0.020922,           0.0037224,          0.00056493,            0.003763,            0.003763,            0.003763
                  65,            0.028179,            0.010356,           0.0015003,             0.97568,             0.98872,             0.99491,             0.70145,            0.024257,            0.003646,          0.00054224,            0.003664,            0.003664,            0.003664
                  66,            0.030656,           0.0098173,          0.00099657,             0.96641,             0.99123,             0.99474,             0.72734,            0.021504,           0.0035893,          0.00058056,            0.003565,            0.003565,            0.003565
                  67,            0.031427,           0.0091369,          0.00089013,             0.96423,                   1,             0.99475,             0.64192,            0.023345,           0.0035881,          0.00055304,            0.003466,            0.003466,            0.003466
                  68,             0.02874,            0.010962,           0.0010287,             0.95809,                   1,             0.99483,             0.72218,            0.019556,           0.0035481,           0.0005449,            0.003367,            0.003367,            0.003367
                  69,            0.027851,            0.011176,           0.0011841,             0.96145,                   1,             0.99483,             0.73987,              0.0193,           0.0034984,          0.00052916,            0.003268,            0.003268,            0.003268
                  70,            0.023912,            0.010047,          0.00066036,             0.98177,                   1,             0.99491,             0.77625,            0.018349,           0.0034339,          0.00049947,            0.003169,            0.003169,            0.003169
                  71,            0.029186,            0.010414,          0.00092864,             0.98815,                   1,             0.99491,             0.76289,             0.01722,           0.0034349,          0.00048163,             0.00307,             0.00307,             0.00307
                  72,            0.026003,            0.010181,           0.0011278,             0.98543,                   1,             0.99491,             0.74882,            0.018983,           0.0034221,          0.00045495,            0.002971,            0.002971,            0.002971
                  73,            0.024871,             0.01043,          0.00077587,             0.98609,             0.99545,             0.99491,             0.78946,            0.017298,           0.0033457,          0.00041745,            0.002872,            0.002872,            0.002872
